event_id,timestamp,campaign_id,campaign_name,format,event_type,cost,revenue
EVT_491852,2026-07-30 13:16:16,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_131178,2026-07-30 19:08:59,CMP_102,Tech Gadgets Launch,CTV,impression,0.0053,0.0
EVT_600097,2026-07-29 15:26:22,CMP_103,B2B SaaS Trial,Display,impression,0.0145,0.0
EVT_569160,2026-07-30 10:53:08,CMP_103,B2B SaaS Trial,Display,impression,0.005,0.0
EVT_555530,2026-07-30 23:21:29,CMP_102,Tech Gadgets Launch,CTV,impression,0.0128,0.0
EVT_983247,2026-07-29 13:22:21,CMP_101,Summer Apparel,OLV,impression,0.0126,0.0
EVT_539893,2026-07-30 06:28:06,CMP_101,Summer Apparel,OLV,impression,0.0089,0.0
EVT_334803,2026-07-30 06:16:13,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_635993,2026-07-29 05:53:51,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_492285,2026-07-30 23:57:19,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_499106,2026-07-29 05:15:13,CMP_103,B2B SaaS Trial,Display,q4_100,0.0,0.0
EVT_234390,2026-07-29 22:23:45,CMP_102,Tech Gadgets Launch,CTV,impression,0.0082,0.0
EVT_696728,2026-07-30 18:59:43,CMP_103,B2B SaaS Trial,Display,impression,0.0104,0.0
EVT_533300,2026-07-29 16:52:55,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_719400,2026-07-30 00:37:47,CMP_103,B2B SaaS Trial,Display,impression,0.0068,0.0
EVT_127796,2026-07-30 13:08:34,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_701661,2026-07-29 18:05:53,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_411645,2026-07-29 06:39:16,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_621482,2026-07-29 19:30:47,CMP_103,B2B SaaS Trial,Display,impression,0.0071,0.0
EVT_936816,2026-07-31 19:53:54,CMP_101,Summer Apparel,OLV,impression,0.0065,0.0
EVT_104531,2026-07-30 19:06:22,CMP_103,B2B SaaS Trial,Display,impression,0.0031,0.0
EVT_151526,2026-07-30 23:18:34,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_439577,2026-07-28 23:26:59,CMP_102,Tech Gadgets Launch,CTV,q4_100,0.0,0.0
EVT_472211,2026-07-31 18:06:51,CMP_103,B2B SaaS Trial,Display,impression,0.0037,0.0
EVT_704787,2026-07-30 16:04:20,CMP_101,Summer Apparel,OLV,impression,0.0125,0.0
EVT_444155,2026-07-30 03:58:42,CMP_103,B2B SaaS Trial,Display,impression,0.0081,0.0
EVT_350747,2026-07-31 16:19:17,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_577969,2026-07-29 21:09:40,CMP_103,B2B SaaS Trial,Display,impression,0.0034,0.0
EVT_144413,2026-07-30 23:13:28,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_475284,2026-07-30 04:26:55,CMP_101,Summer Apparel,OLV,impression,0.0063,0.0
EVT_635807,2026-07-30 16:36:54,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_847517,2026-07-29 19:58:54,CMP_102,Tech Gadgets Launch,CTV,impression,0.0051,0.0
EVT_889180,2026-07-29 11:53:08,CMP_102,Tech Gadgets Launch,CTV,impression,0.0045,0.0
EVT_498825,2026-07-31 13:11:28,CMP_103,B2B SaaS Trial,Display,click,0.0,0.0
EVT_807626,2026-07-29 11:28:48,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_463489,2026-07-29 13:33:26,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_176253,2026-07-28 22:15:15,CMP_102,Tech Gadgets Launch,CTV,impression,0.0077,0.0
EVT_169783,2026-07-28 23:07:14,CMP_102,Tech Gadgets Launch,CTV,impression,0.0035,0.0
EVT_146954,2026-07-29 23:03:38,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_310072,2026-07-30 03:18:09,CMP_101,Summer Apparel,OLV,impression,0.007,0.0
EVT_852545,2026-07-29 07:10:46,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_539570,2026-07-30 17:32:52,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_318444,2026-07-31 13:03:42,CMP_102,Tech Gadgets Launch,CTV,impression,0.0023,0.0
EVT_173753,2026-07-30 00:44:07,CMP_103,B2B SaaS Trial,Display,impression,0.0136,0.0
EVT_290178,2026-07-29 08:44:50,CMP_103,B2B SaaS Trial,Display,impression,0.0109,0.0
EVT_318588,2026-07-30 22:52:41,CMP_103,B2B SaaS Trial,Display,impression,0.0022,0.0
EVT_750710,2026-07-30 20:12:39,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_221505,2026-07-29 09:00:29,CMP_102,Tech Gadgets Launch,CTV,impression,0.0065,0.0
EVT_910194,2026-07-29 18:45:30,CMP_101,Summer Apparel,OLV,impression,0.0073,0.0
EVT_127318,2026-07-29 06:50:42,CMP_102,Tech Gadgets Launch,CTV,impression,0.0091,0.0
EVT_532639,2026-07-30 16:25:14,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_621383,2026-07-30 03:46:46,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_554203,2026-07-29 03:19:22,CMP_102,Tech Gadgets Launch,CTV,impression,0.0134,0.0
EVT_823945,2026-07-31 16:02:40,CMP_101,Summer Apparel,OLV,impression,0.004,0.0
EVT_996044,2026-07-31 01:00:34,CMP_102,Tech Gadgets Launch,CTV,q4_100,0.0,0.0
EVT_126707,2026-07-30 08:29:12,CMP_103,B2B SaaS Trial,Display,impression,0.0109,0.0
EVT_207921,2026-07-29 03:31:17,CMP_103,B2B SaaS Trial,Display,impression,0.0148,0.0
EVT_442794,2026-07-28 23:40:08,CMP_103,B2B SaaS Trial,Display,impression,0.0099,0.0
EVT_274347,2026-07-30 16:26:44,CMP_103,B2B SaaS Trial,Display,impression,0.005,0.0
EVT_308984,2026-07-30 02:42:31,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_808548,2026-07-31 02:18:10,CMP_103,B2B SaaS Trial,Display,impression,0.0046,0.0
EVT_538037,2026-07-29 03:52:25,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_278533,2026-07-29 20:53:10,CMP_103,B2B SaaS Trial,Display,impression,0.005,0.0
EVT_592379,2026-07-30 14:46:52,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_621528,2026-07-30 19:25:20,CMP_101,Summer Apparel,OLV,impression,0.0107,0.0
EVT_597082,2026-07-31 08:25:06,CMP_101,Summer Apparel,OLV,impression,0.0022,0.0
EVT_719143,2026-07-31 17:26:22,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_120901,2026-07-30 13:39:31,CMP_101,Summer Apparel,OLV,impression,0.0025,0.0
EVT_562988,2026-07-31 05:27:28,CMP_103,B2B SaaS Trial,Display,click,0.0,0.0
EVT_261413,2026-07-30 17:54:01,CMP_103,B2B SaaS Trial,Display,impression,0.0148,0.0
EVT_254561,2026-07-31 13:45:54,CMP_103,B2B SaaS Trial,Display,q4_100,0.0,0.0
EVT_781829,2026-07-31 09:52:26,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_665274,2026-07-31 18:57:02,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_516002,2026-07-29 13:09:34,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_445920,2026-07-30 20:34:14,CMP_102,Tech Gadgets Launch,CTV,impression,0.0146,0.0
EVT_898769,2026-07-30 14:27:04,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_435229,2026-07-28 21:15:38,CMP_102,Tech Gadgets Launch,CTV,impression,0.0076,0.0
EVT_194330,2026-07-29 21:45:53,CMP_103,B2B SaaS Trial,Display,impression,0.0057,0.0
EVT_974187,2026-07-30 07:37:03,CMP_102,Tech Gadgets Launch,CTV,impression,0.0087,0.0
EVT_417674,2026-07-30 15:04:40,CMP_101,Summer Apparel,OLV,impression,0.0054,0.0
EVT_631757,2026-07-29 07:39:43,CMP_102,Tech Gadgets Launch,CTV,q2_50,0.0,0.0
EVT_711646,2026-07-29 18:35:07,CMP_101,Summer Apparel,OLV,impression,0.0056,0.0
EVT_427888,2026-07-29 10:24:46,CMP_101,Summer Apparel,OLV,impression,0.0066,0.0
EVT_678132,2026-07-29 14:34:09,CMP_103,B2B SaaS Trial,Display,impression,0.011,0.0
EVT_247980,2026-07-29 08:40:58,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_381761,2026-07-29 23:07:47,CMP_102,Tech Gadgets Launch,CTV,impression,0.0069,0.0
EVT_867054,2026-07-29 11:42:01,CMP_102,Tech Gadgets Launch,CTV,impression,0.0023,0.0
EVT_105601,2026-07-30 00:44:49,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_724703,2026-07-30 17:15:16,CMP_101,Summer Apparel,OLV,impression,0.0031,0.0
EVT_519373,2026-07-29 06:56:23,CMP_101,Summer Apparel,OLV,impression,0.0089,0.0
EVT_838767,2026-07-30 12:51:56,CMP_102,Tech Gadgets Launch,CTV,impression,0.0101,0.0
EVT_403017,2026-07-31 15:34:43,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_533743,2026-07-29 06:49:53,CMP_103,B2B SaaS Trial,Display,impression,0.0085,0.0
EVT_130555,2026-07-29 06:14:51,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_438322,2026-07-31 15:56:24,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_212896,2026-07-29 12:21:06,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_757252,2026-07-31 11:02:11,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_406120,2026-07-30 12:56:38,CMP_102,Tech Gadgets Launch,CTV,impression,0.0128,0.0
EVT_574916,2026-07-29 16:26:07,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_972495,2026-07-30 18:01:02,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_414474,2026-07-31 05:49:07,CMP_102,Tech Gadgets Launch,CTV,impression,0.0061,0.0
EVT_663167,2026-07-31 15:27:47,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_986396,2026-07-31 10:02:20,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_672013,2026-07-29 16:32:47,CMP_101,Summer Apparel,OLV,impression,0.005,0.0
EVT_151247,2026-07-30 17:20:30,CMP_103,B2B SaaS Trial,Display,impression,0.0115,0.0
EVT_486662,2026-07-30 03:01:08,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_168266,2026-07-29 02:02:25,CMP_103,B2B SaaS Trial,Display,impression,0.0133,0.0
EVT_585476,2026-07-31 19:21:13,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_988843,2026-07-30 07:39:50,CMP_102,Tech Gadgets Launch,CTV,impression,0.0083,0.0
EVT_973467,2026-07-30 17:16:03,CMP_101,Summer Apparel,OLV,impression,0.0129,0.0
EVT_892216,2026-07-29 13:45:54,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_896428,2026-07-31 11:36:44,CMP_101,Summer Apparel,OLV,impression,0.0114,0.0
EVT_703223,2026-07-30 01:45:13,CMP_101,Summer Apparel,OLV,impression,0.0053,0.0
EVT_618196,2026-07-29 13:19:17,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_206273,2026-07-31 09:21:44,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_909378,2026-07-28 21:50:37,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_820934,2026-07-29 18:38:02,CMP_103,B2B SaaS Trial,Display,impression,0.0042,0.0
EVT_422409,2026-07-29 01:04:03,CMP_103,B2B SaaS Trial,Display,impression,0.0022,0.0
EVT_138449,2026-07-31 20:30:33,CMP_101,Summer Apparel,OLV,impression,0.0114,0.0
EVT_981357,2026-07-30 04:14:12,CMP_101,Summer Apparel,OLV,impression,0.0094,0.0
EVT_965833,2026-07-31 03:43:18,CMP_103,B2B SaaS Trial,Display,impression,0.0148,0.0
EVT_484796,2026-07-31 00:27:02,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_513503,2026-07-31 15:02:08,CMP_102,Tech Gadgets Launch,CTV,q2_50,0.0,0.0
EVT_881927,2026-07-29 08:58:23,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_885029,2026-07-31 01:23:39,CMP_101,Summer Apparel,OLV,impression,0.0111,0.0
EVT_437434,2026-07-30 08:29:48,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_347847,2026-07-29 04:26:20,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_527037,2026-07-29 05:39:03,CMP_101,Summer Apparel,OLV,q4_100,0.0,0.0
EVT_380797,2026-07-30 16:52:53,CMP_101,Summer Apparel,OLV,impression,0.0147,0.0
EVT_958352,2026-07-29 02:37:21,CMP_101,Summer Apparel,OLV,impression,0.002,0.0
EVT_562258,2026-07-29 14:56:26,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_789669,2026-07-29 05:23:56,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_887021,2026-07-31 13:32:01,CMP_101,Summer Apparel,OLV,impression,0.014,0.0
EVT_986858,2026-07-29 00:58:04,CMP_101,Summer Apparel,OLV,impression,0.0085,0.0
EVT_633191,2026-07-31 14:37:42,CMP_101,Summer Apparel,OLV,impression,0.0138,0.0
EVT_232302,2026-07-31 03:00:32,CMP_103,B2B SaaS Trial,Display,impression,0.0081,0.0
EVT_437307,2026-07-30 03:25:45,CMP_101,Summer Apparel,OLV,q4_100,0.0,0.0
EVT_201124,2026-07-31 00:49:18,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_375066,2026-07-30 14:19:04,CMP_101,Summer Apparel,OLV,impression,0.0075,0.0
EVT_628114,2026-07-31 14:37:34,CMP_102,Tech Gadgets Launch,CTV,impression,0.0146,0.0
EVT_333440,2026-07-29 17:30:59,CMP_101,Summer Apparel,OLV,impression,0.0102,0.0
EVT_738899,2026-07-30 14:28:35,CMP_102,Tech Gadgets Launch,CTV,impression,0.0109,0.0
EVT_810155,2026-07-29 00:20:17,CMP_101,Summer Apparel,OLV,impression,0.0118,0.0
EVT_256906,2026-07-28 22:25:04,CMP_101,Summer Apparel,OLV,impression,0.0112,0.0
EVT_321540,2026-07-30 07:27:35,CMP_101,Summer Apparel,OLV,impression,0.0097,0.0
EVT_496516,2026-07-31 12:20:40,CMP_102,Tech Gadgets Launch,CTV,impression,0.0046,0.0
EVT_696368,2026-07-30 05:17:36,CMP_102,Tech Gadgets Launch,CTV,q2_50,0.0,0.0
EVT_147264,2026-07-30 20:41:45,CMP_102,Tech Gadgets Launch,CTV,impression,0.0086,0.0
EVT_900097,2026-07-29 16:21:03,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_280874,2026-07-31 09:12:29,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_962982,2026-07-30 23:27:40,CMP_102,Tech Gadgets Launch,CTV,q3_75,0.0,0.0
EVT_461172,2026-07-30 04:27:13,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_526706,2026-07-30 07:13:57,CMP_102,Tech Gadgets Launch,CTV,impression,0.0033,0.0
EVT_448039,2026-07-30 17:52:33,CMP_103,B2B SaaS Trial,Display,impression,0.0083,0.0
EVT_700846,2026-07-31 03:23:53,CMP_101,Summer Apparel,OLV,impression,0.0041,0.0
EVT_453794,2026-07-30 14:08:27,CMP_102,Tech Gadgets Launch,CTV,q2_50,0.0,0.0
EVT_922422,2026-07-30 08:28:16,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_665022,2026-07-30 14:36:09,CMP_102,Tech Gadgets Launch,CTV,impression,0.0128,0.0
EVT_697595,2026-07-29 00:24:35,CMP_101,Summer Apparel,OLV,impression,0.0022,0.0
EVT_740556,2026-07-30 10:57:17,CMP_101,Summer Apparel,OLV,impression,0.0089,0.0
EVT_770928,2026-07-29 13:39:37,CMP_101,Summer Apparel,OLV,impression,0.0048,0.0
EVT_499326,2026-07-29 03:50:00,CMP_103,B2B SaaS Trial,Display,impression,0.0115,0.0
EVT_394818,2026-07-30 12:00:35,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_828604,2026-07-30 08:03:56,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_645397,2026-07-30 20:31:26,CMP_102,Tech Gadgets Launch,CTV,impression,0.0079,0.0
EVT_837469,2026-07-29 12:26:59,CMP_103,B2B SaaS Trial,Display,impression,0.0086,0.0
EVT_820130,2026-07-30 05:26:00,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_707662,2026-07-31 00:00:39,CMP_101,Summer Apparel,OLV,click,0.0,0.0
EVT_242292,2026-07-31 02:10:47,CMP_103,B2B SaaS Trial,Display,impression,0.0035,0.0
EVT_368096,2026-07-30 02:53:45,CMP_103,B2B SaaS Trial,Display,impression,0.0087,0.0
EVT_132394,2026-07-30 17:29:20,CMP_102,Tech Gadgets Launch,CTV,impression,0.0106,0.0
EVT_661463,2026-07-31 11:05:45,CMP_103,B2B SaaS Trial,Display,q4_100,0.0,0.0
EVT_445453,2026-07-30 12:47:31,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_977958,2026-07-30 12:41:27,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_859445,2026-07-29 16:13:22,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_746748,2026-07-30 01:52:45,CMP_103,B2B SaaS Trial,Display,impression,0.0034,0.0
EVT_372960,2026-07-30 01:22:40,CMP_101,Summer Apparel,OLV,impression,0.0039,0.0
EVT_549705,2026-07-30 07:55:45,CMP_101,Summer Apparel,OLV,impression,0.0028,0.0
EVT_734497,2026-07-30 20:06:01,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_742437,2026-07-30 09:46:46,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_442347,2026-07-29 05:14:56,CMP_101,Summer Apparel,OLV,impression,0.0148,0.0
EVT_731692,2026-07-30 08:50:00,CMP_103,B2B SaaS Trial,Display,impression,0.0087,0.0
EVT_655170,2026-07-31 14:58:27,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_832663,2026-07-30 21:31:38,CMP_101,Summer Apparel,OLV,impression,0.0046,0.0
EVT_735711,2026-07-31 19:08:29,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_714739,2026-07-29 03:09:03,CMP_101,Summer Apparel,OLV,impression,0.0042,0.0
EVT_864701,2026-07-29 10:23:15,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_613842,2026-07-29 17:04:45,CMP_101,Summer Apparel,OLV,impression,0.0102,0.0
EVT_600899,2026-07-30 05:47:33,CMP_102,Tech Gadgets Launch,CTV,q2_50,0.0,0.0
EVT_869607,2026-07-31 01:56:06,CMP_101,Summer Apparel,OLV,impression,0.0148,0.0
EVT_452414,2026-07-30 16:08:36,CMP_101,Summer Apparel,OLV,impression,0.011,0.0
EVT_487437,2026-07-29 05:58:00,CMP_102,Tech Gadgets Launch,CTV,impression,0.0111,0.0
EVT_140548,2026-07-30 22:50:34,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_400946,2026-07-31 09:21:33,CMP_102,Tech Gadgets Launch,CTV,impression,0.0122,0.0
EVT_267573,2026-07-30 00:49:39,CMP_101,Summer Apparel,OLV,impression,0.0072,0.0
EVT_151255,2026-07-31 20:14:46,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_132622,2026-07-31 05:08:02,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_997812,2026-07-31 00:47:55,CMP_103,B2B SaaS Trial,Display,impression,0.0085,0.0
EVT_332408,2026-07-29 19:10:47,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_761099,2026-07-29 16:52:01,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_376528,2026-07-30 02:16:14,CMP_103,B2B SaaS Trial,Display,impression,0.0092,0.0
EVT_848245,2026-07-31 08:32:47,CMP_103,B2B SaaS Trial,Display,impression,0.0103,0.0
EVT_111157,2026-07-30 02:04:29,CMP_103,B2B SaaS Trial,Display,impression,0.0078,0.0
EVT_301043,2026-07-29 06:12:33,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_120308,2026-07-29 09:20:06,CMP_101,Summer Apparel,OLV,impression,0.0081,0.0
EVT_139467,2026-07-29 10:38:24,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_431815,2026-07-29 22:33:51,CMP_103,B2B SaaS Trial,Display,impression,0.0056,0.0
EVT_131735,2026-07-29 13:41:09,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_522237,2026-07-29 13:11:41,CMP_101,Summer Apparel,OLV,impression,0.0131,0.0
EVT_130003,2026-07-30 20:25:17,CMP_102,Tech Gadgets Launch,CTV,impression,0.0044,0.0
